CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
00.099-2,17/01/1996,Cartório Extrajudicial de Jordão - AC,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,20/03/2025,AC,JORDAO,cartorio.jordao.acre@gmail.om,2025-02-03,MATHEUS FENNER BOHN,-
00.105-7,24/11/1944,Serventia Extrajudicial da Comarca de Manoel Urbano,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/09/2016,AC,MANOEL URBANO,cartoriomanoelurbano@gmail.com,2024-04-14,DIRCE YUKARI SUGUI AZEVEDO DA SILVEIRA,-
00.122-2,12/09/1904,"Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas da comarca de Cruzeiro do Sul",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,01/04/2025,AC,CRUZEIRO DO SUL,atendimentoauxiliares@gmail.com,2025-02-03,HENRIQUE DE OLIVEIRA RASSLAN,-
00.144-6,21/12/1938,SERVENTIAS EXTRAJUDICIAIS DA COMARCA DE FEIJÓ,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,25/07/2016,AC,FEIJO,cartoriofeijo@gmail.com,2024-07-15,SILVANO DECARLI,-
00.172-7,13/03/1868,"1º OFÍCIO DE REGISTRO DE IMÓVEIS, TABELIONATO DE NOTAS E PROTESTO, EVERSON LORENZINI",Oficializada,Notas / Protesto de Títulos / Registro de Imóveis,Ativo,PROVIDO,31/01/2025,AL,PAO DE ACUCAR,cartoriolorenzini@gmail.com,2025-01-13,EVERSON TORRES LORENZINI,-
00.173-5,24/09/1864,1º CARTORIO DE REGISTRO DE IMOVEIS E HIPOTECAS DE MACEIÓ,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2012,AL,MACEIO,1rimaceio@1rimaceio.com.br,1978-02-01,STELIO DARCI CERQUEIRA DE ALBUQUERQUE,ANDRé TOLEDO DE ALBUQUERQUE
00.174-3,08/01/1922,Cartório do 1º Ofício de Notas e Registros de Imóveis da Comarca de Maragogi,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,01/03/2025,AL,MARAGOGI,cartorio1oficiomaragogial@gmail.com,2025-02-11,VANESSA MENEZES DUARTE,ADRIANA FELIPE DA SILVA
00.175-0,07/05/1925,Serviço Notarial e Registral,Privatizada,Notas / Registro de Imóveis,Ativo,PROVIDO,12/07/2010,AL,SAO MIGUEL DOS CAMPOS,jackson.1oficiosmc@gmail.com,1988-08-04,JACKSON IVAN PAULA TORRES,ETIONE MARIA ANACLETO TORRES
00.176-8,13/05/1861,1º SERVIÇO NOTARIAL E REGISTRAL DE CORURIPE,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,07/02/2025,AL,CORURIPE,cartoriocoruripe@gmail.com,2025-02-03,MILENA GUERREIRO,-
00.178-4,26/04/1866,1º TABELIONATO DE NOTAS REGISTRO DE IMOVEIS E PROTESTO DE TITULOS,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis,Ativo,PROVIDO,31/01/2025,AL,UNIAO DOS PALMARES,cartorio1oficiouniaopalmares@gmail.com,2025-01-28,ANA LUÍSA TEODORO GARIBALDI,ANA PAULA DA SILVA SOUZA
00.186-7,02/10/1871,2º Cartório Notarial e Registral de Palmeira dos Índios-AL,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,24/02/2025,AL,PALMEIRA DOS INDIOS,cartorionotarialeregistral@gmail.com,2025-02-20,GEORGE LUCAS PESSOA DA CÂMARA COSTA,-
00.189-1,06/07/1984,3 Registro de Imóveis e  Distribuição de Títulos para Protesto de Maceio,Privatizada,Registro de Distribuição / Registro de Imóveis,Ativo,PROVIDO,12/03/2023,AL,MACEIO,stda@uol.com.br,1990-08-03,SERGIO TOLEDO DE ALBUQUERQUE,LARA CANSANçãO DE ALBUQUERQUE AYRES
00.192-5,25/11/1969,ALAGOAS 2º CARTÓRIO DO REGISTRO GERAL DE IMÓVEIS E HIPOTECAS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,31/01/2025,AL,MACEIO,segundocartorio.imoveismcz@hotmail.com,2025-02-01,ARTHUR BRIZZI,-
00.195-8,01/01/1921,Alagoas Cartório 1º ofício Reg. de Imóv. Títulos,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,14/07/2025,AL,CAPELA,cartoriocapela@gmail.com,2025-07-01,LIDIJANE LEMOS ARAúJO,-
00.197-4,11/08/1960,"Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas, Tabelionato de Notas e Protesto de Títulos de Matriz de Camaragibe/AL",Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,26/02/2026,AL,MATRIZ DE CAMARAGIBE,cartoriodematrizdecamaragibe@gmail.com,-,BáRBARA LUANNA DA SILVA,-
00.198-2,10/07/1853,"CARTORIO DE 1º OFICIO DE IMÓVEIS, HIPOTECA E NOTAS",Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,RIO LARGO,cartorio1oficiodeimoveisrl@gmail.com,2025-01-28,RENAN RIBEIRO VIEIRA,INGRID MYCKAELLE DOS SANTOS PINTO
00.201-4,30/10/1924,ALAGOAS SERVIÇOS DO 1º OFICIO REGISTRO DE IMOVEIS,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,AL,ARAPIRACA,cartorio1oara_al@hotmail.com,1973-01-23,CYRA RIBEIRO,CíCERO TADEU RIBEIRO
00.203-0,24/09/1973,Cartório 1 Ofício de Notas e Registro Imóveis,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,MURICI,cartorio1oficiomurici@yahoo.com,2025-01-28,STEPHANIE JANE SMITH MELO,RICHARD WAGNER VIEIRA DE AGUIAR
00.204-8,05/11/1915,Cartório 1º Ofício,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,01/08/2025,AL,SANTANA DO IPANEMA,cartorioregimoveissdoipanema@gmail.com,2025-03-01,LUCIANO FERREIRA LISITA DORNELAS,JOSELMA RAMOS SILVA
00.207-1,05/02/1866,Cartório de Imóveis Hipoteca Tit. Doc. e Notas,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,PASSO DE CAMARAGIBE,cartoriodopassodecamaragibe@gmail.com,2025-01-28,MAYARA VIEIRA DA SILVA,-
00.208-9,11/08/1960,CARTÓRIO DO ÚNICO OFÍCIO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/02/2025,AL,"OLHO D'AGUA DAS FLORES",oaflorescartorio@gmail.com,2025-02-11,VINÍCIUS MARQUES PINHEIRO AUGUSTO,MARCELO DOS SANTOS SILVA
00.209-7,06/07/1984,Cartório de Notas e do Registro Geral de Imóveis,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,01/03/2025,AL,BELEM,oficiounicobelem@gmail.com,2025-02-26,THIAGO MOTA MACIEL,LUCAS GABRIEL MACIEL GRANGEIRO
00.211-3,11/08/1960,CARTORIO DE NOTAS E REGISTROS GERAIS DE OLIVENÇA-AL,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,OLIVENCA,cartorionotaseregistrogerais@gmail.com,2025-01-28,DANIELA DIVINA DA SILVA,-
00.246-9,07/07/1807,"1º Ofício de Registro de Imóveis, Notas e Registro Civil de Pessoas Jurídicas e Títulos e Documentos de Porto Calvo/AL",Oficializada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,01/12/2025,AL,PORTO CALVO,contato@cartorioportocalvo.com,2025-11-28,YASKARA VALERIA FERREIRA QUIRINO DE MELO,-
00.248-5,25/12/1865,CARTORIO DO 1º OFICIO DA COMARCA DE PENEDO-AL,Oficializada,Notas / Protesto de Títulos / Registro de Imóveis,Ativo,PROVIDO,03/02/2025,AL,PENEDO,cartorio1ofregistropenedo@gmail.com,2025-01-28,JULIANA ALVES MIRAS BARROS,MEIRE JANE FERREIRA RAMOS
00.249-3,10/06/1934,Cartório do 1º Ofício de Registro Geral de Imóveis e Notas,Privatizada,Notas / Registro de Imóveis,Ativo,PROVIDO,03/02/2025,AL,ATALAIA,cartorioimoveisenotas.atalaia@gmail.com,"2005-02-17, 2025-01-28",THAÍS CAMATTE VIEIRA ANDRADE,-
00.252-7,24/07/1929,Cartório do 2º Ofício de Anadia,Privatizada,Notas / Registro de Imóveis,Ativo,VAGO,02/10/2025,AL,ANADIA,cartorio2anadia@gmail.com,2025-10-01,ÍCARO PROTÁSIO ARAÚJO DA COSTA,-
00.303-8,11/08/1960,"Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas e Tabelião de Notas de Monteirópolis",Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/02/2025,AL,MONTEIROPOLIS,cartoriomonteiropolis@gmail.com,2025-02-26,DANILO DOS SANTOS AGOSTINHO,-
00.307-9,31/01/1915,CARTÓRIO DO ÚNICO OFÍCIO DE PORTO REAL DO COLÉGIO/AL,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,PORTO REAL DO COLEGIO,cartorio.imoveis.prcolegio@gmail.com,2025-01-28,VICTOR GABRIEL PEZZINO MOURA,-
00.308-7,11/08/1960,Cartório do Único Ofício,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,08/07/2025,AL,JACARE DOS HOMENS,cartoriojacaredoshomens@gmail.com,2025-07-04,GABRYEL CELVES SAMPAIO FREIRE GUERREIRO,JEANE BEZERRA SILVA
00.309-5,06/07/1984,CARTORIO DO ÚNICO OFÍCIO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,"TANQUE D'ARCA",cartoriounicooficiotanquedarca@gmail.com,2025-02-20,JOÃO ÁLVARO WERLANG GANZER,-
00.310-3,11/08/1960,"Cartório do Registro Civil das Pessoas Jurídicas, Registro de Títulos e Documentos, Registro de Imóveis, Tabelionato de Notas e Tabelionato de Protesto de Títulos de Ibateguara - AL",Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,02/07/2025,AL,IBATEGUARA,administracao@cartorioibateguara.com,2025-06-18,ALAN CAMPOS LANA,-
00.311-1,08/01/1981,Cartório do Único Ofício,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,01/08/2025,AL,NOVO LINO,cartoriouniconovolino@hotmail.com,2025-07-26,WELLINGTON LUIZ DA SILVA,-
00.312-9,08/07/1966,CARTÓRIO DO ÚNICO OFICIO DA COMARCA DE SÃO SEBASTIÃO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,SAO SEBASTIAO,sscartorio@gmail.com,2025-01-28,LARISSA BARROS AZEVEDO ARAÚJO,-
00.313-7,16/05/1962,CARTÓRIO DO ÚNICO OFÍCIO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/09/2010,AL,PINDOBA,cartoriodounicooficio@hotmail.com,1976-08-25,MARIA DE FÁTIMA DOS SANTOS,HEWELLYN DE LOURDES DOS SANTOS SILVA
00.314-5,11/08/1960,CARTÓRIO DO ÚNICO OFICIO DA COMARCA DE CAJUEIRO,Oficializada,Notas / Protesto de Títulos / Registro de Contratos Marítimos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/02/2025,AL,CAJUEIRO,cartoriounicooficiocajueiro@gmail.com,2025-02-22,LUIZ HENRIQUE SANTOS DA CRUZ,-
00.315-2,11/08/1960,Cartório do Único Ofício,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,18/06/2025,AL,DOIS RIACHOS,oficiounicodoisriachos@gmail.com,2025-07-01,ADILSON  CARDOSO DE OLIVEIRA,-
00.316-0,30/06/1883,CARTÓRIO DO ÚNICO OFÍCIO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/07/2025,AL,PIACABUCU,cartoriounico1@gmail.com,2025-01-28,ALINE CARDOSO MARTINS DE PINHO,-
00.317-8,13/03/1875,Cartório do Único Ofício,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,01/07/2025,AL,LIMOEIRO DE ANADIA,cartorio1_limoeiro@hotmail.com,2025-07-01,PEDRO BARAUSSE NETO,-
00.319-4,15/12/1854,Cartorio do Unico Oficio da Comarca de Pilar,Oficializada,Notas / Protesto de Títulos / Registro de Contratos Marítimos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,10/04/2019,AL,PILAR,cartoriopilar@hotmail.com,1985-12-13,ROSA MARIA RODRIGUES LIMA DE OLIVEIRA,ANA CRISTINA RODRIGUES LIMA DE OLIVEIRA
00.320-2,07/02/1977,Cartório do Único Ofício de Branquinha,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,BRANQUINHA,cartoriounicooficiobranquinha@gmail.com,2025-01-28,LUCAS SANTANNA DE AZEVEDO,-
00.321-0,06/07/1984,Cartório do Único Ofício de Craíbas,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/02/2025,AL,CRAIBAS,cartuocraibasal@gmail.com,2025-02-26,GISELLE DE MEDEIROS LIMA,RONEGE VALÉRIA DOS SANTOS ALVES
00.323-6,06/07/1984,Cartório do Único Ofício de Lagoa da Canoa,Oficializada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,LAGOA DA CANOA,cartoriolagoadacanoa@gmail.com,2025-01-29,FABIANE CÁSSIA THEREZA DOS SANTOS,-
00.324-4,06/07/1984,CARTORIO DO UNICO OFICIO DE MESSIAS,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/02/2025,AL,MESSIAS,cartoriodemessias@gmail.com,2025-02-26,CAMILA MELO DUTRA,MIKAELLE LUSE SILVA
00.325-1,13/06/1955,Cartório do Único Ofício de Piranhas,Oficializada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,24/03/2025,AL,PIRANHAS,cartoriounicooficiopiranhas-al@hotmail.com,2025-03-19,AMANDA GOMES RAMOS,MARIANA CAMILO DA SILVA
00.326-9,05/09/1903,Cartório do Único Ofício de Porto de Pedras,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/07/2025,AL,PORTO DE PEDRAS,cartorio.unico.of.portodepedras@gmail.com,2025-01-27,MARIA ROSINETE RODRIGUES REMIGIO DE OLIVEIRA,-
00.327-7,31/05/1976,Cartório do Único Ofício de Satuba,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,AL,SATUBA,cartoriosatuba@hotmail.com,1976-05-31,MARIA DO SOCORRO QUEIROZ,SANDRA MARCIA QUEIROZ TAVARES
00.328-5,11/08/1960,CARTÓRIO DO ÚNICO OFÍCIO DE CACIMBINHAS,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,17/02/2025,AL,CACIMBINHAS,cacimbinhascartorio@gmail.com,2025-01-28,MATHEUS CERAZI SARTORI,ISABEL LOPES DA SILVA
00.329-3,06/07/1878,Cartório Notarial e Registral do 1º Ofício,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,04/07/2025,AL,ÁGUA BRANCA,aguabranca1cartorio@hotmail.com,2025-07-02,JULIANA SAYURI IKEDA DE OLIVEIRA,SâMARA JAMILA QUEIROZ DOS SANTOS
00.334-3,06/07/1984,CARTÓRIO DO ÚNICO OFÍCIO DE JOAQUIM GOMES,Oficializada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,JOAQUIM GOMES,cartoriojgomes@outlook.com,2025-01-28,SYLENE MARIA MICHALUAT SESSA,-
00.335-0,27/11/1897,IGREJA NOVA CARTÓRIO UNICO OFICIO,Privatizada,Notas / Protesto de Títulos / Registro de Contratos Marítimos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,IGREJA NOVA,ADMINISTRACAO@CARTORIOIGREJANOVA.COM.BR,2025-01-28,VITOR DE SOUZA VIEIRA,-
00.336-8,09/10/1908,Junqueiro Cartório do Único Ofício,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,20/02/2025,AL,JUNQUEIRO,cartoriodejunqueiro@hotmail.com,2025-01-31,SAMUEL LUCAS FERREIRA NUNES,-
00.338-4,17/07/1930,Notas e Registro do Unico Oficio,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,03/05/2012,AL,MATA GRANDE,cartorio.mtg@gmail.com,1988-05-26,MANOEL IRAN VILAR MALTA,FILIPE CALHEIROS MALTA
00.339-2,06/07/1984,Notas e Registro do Unico Oficio de taquarana,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,TAQUARANA,cart.unicotaquarana@gmail.com,2025-01-13,ANDERSON JORGE DAMASCENO ESPÍNDOLA,DéBORA LEILA SOARES DA SILVA ESPíNDOLA
00.340-0,09/08/1976,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS JURÍDICAS, REGISTRO DE IMÓVEIS, DE TÍTULOS E DOCUMENTOS, TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS DE MARIBONDO/AL",Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,04/07/2025,AL,MARIBONDO,ritdpjnotaseprotestomaribondo@gmail.com,2025-07-01,LAURA REGO BARROS FERREIRA,-
00.342-6,18/05/1891,Primeiro Oficio de Notas e Registros de Imoveis e Titulos e Documentos,Privatizada,Notas / Registro de Contratos Marítimos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,SOB INTERVENÇÃO,12/09/2025,AL,SAO LUIS DO QUITUNDE,1.registroimoveis@gmail.com,2025-10-06,MARIA ROSINETE RODRIGUES REMIGIO DE OLIVEIRA,-
00.344-2,11/08/1960,Cartório do Único Ofício de São José da Tapera,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,17/02/2025,AL,SAO JOSE DA TAPERA,cartoriosjdatapera@gmail.com,2025-02-15,CâNDIDA ALVES ARAUJO,-
00.377-2,11/08/1960,SERVIÇO NOTARIAL E REGISTRAL,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,AL,GIRAU DO PONCIANO,cartorio.girau@hotmail.com,1965-08-15,ALFREDO DE OLIVEIRA SILVA,ANDRéA LUCIANA SILVA BRAGA
00.378-0,20/02/1950,Serviço Notarial e Registral,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,20/03/2025,AL,BATALHA,cartoriobat@gmail.com,2025-03-07,RODRIGO DE SOUSA AVILA,-
00.379-8,10/01/1950,Cartório do Único oficio Edson Amaral (Serviço Notarial e Registral),Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,14/07/2025,AL,MAJOR ISIDORO,oficiounicomajorizidoro@gmail.com,2025-07-02,JULIANA CAVALCANTE ALBUQUERQUE,HENRY SIDNEY AMARAL ARAúJO
00.380-6,11/08/1960,SERVIÇO NOTARIAL E REGISTRAL DA COMARCA DE MARAVILHA-AL,Privatizada,Notas / Protesto de Títulos / Registro de Distribuição / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,MARAVILHA,cartoriomaravilha@hotmail.com,2025-01-28,FRANCISCO ALVES DE BRITO NETO,-
00.382-2,11/08/1960,Serviço Notarial e Registral,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,FLEXEIRAS,cartoriodeflexeiras@gmail.com,2025-01-28,THAIRONE DE SOUSA PAIVA,JUAREZ JANUáRIO DOS SANTOS JúNIOR
00.383-0,11/12/1870,SERVIÇO NOTARIAL E REGISTRAL - UNICO OFICIO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,14/02/2025,AL,QUEBRANGULO,cartorioquebrangulo@gmail.com,2025-02-12,FELIPE FLORA RIBEIRO,-
